date	direction	O	up_ex	down_ex	entry_time	entry_price	t2_price	t2_level	initial_price	initial_level	initial_tier	variant	initial_reason	primary_reached	primary_time	mfe	mfe_time	mae	mark_1300	initial_touched	touch_time	initial_flipped	flip_time	flip_close	kept_at_flip	primary_after_flip	primary_after_flip_time	post_flip_mae	stop15_hit_before_initial	class	flip_on_entry_bar	initial_dist	initial_share	t2_dist	n_candidates	n_levels	entry_to_1300_bars	retrace_to_initial	retrace_time	worst_flip_to_primary	cf_opp_close_time	cf_opp_close_kept
2026-08-07	DOWN	29714.75	140.25	150.5	09:45	29821.75	29488.75	TDO	29594.25	ny_morning(cur)_low	1	frac:0.65|farthest	structural	False		257.5	10:12	33.25	82.0	True	10:12	True	10:12	29593.0	228.75	False		-33.25	False	B	False	227.5	0.683	333.0	4	35	194	True	10:13	-33.25	10:13	217.75
2026-08-10	UP	29805.5	94.5	86.5	09:41	29719.0	29878.25	TDO	29839.25	rth(cur)_high	1	frac:0.65|farthest	structural	True	10:10	181.0	10:15	0.0	60.75	True	10:05	True	10:06	29858.0	139.0	True	10:10	11.25	False	A	False	120.25	0.755	159.25	2	37	198	False		121.25	10:07	137.75
2026-08-11	DOWN	29839.25	3.5	223.25	09:30	29842.75	29717.5	london(cur)_low	29751.5	ny_morning(cur)_low	1	frac:0.65|farthest	structural	True	09:35	226.75	12:47	0.0	217.0	True	09:31	True	09:33	29736.0	106.75	True	09:35	37.75	False	A	False	91.25	0.729	125.25	3	35	209	False		97.5	09:34	106.25
2026-08-12	DOWN	29991.75	9.75	173.0	09:30	30001.5	29694.5	TDO	29764.88	week_mid	2	frac:0.65|farthest	structural	False		182.75	11:34	0.0	96.0	False		False							False	D	False	236.62	0.771	307.0	4	35	209					
2026-08-13	UP	29911.25	355.75	48.5	09:32	29862.75	30001.5	prev1_day_high	29980.6875	synthetic_85pct	0	frac:0.65|farthest	synthetic	True	09:36	404.25	10:35	0.0	330.75	True	09:36	True	09:36	30024.75	162.0	True	09:37	132.75	False	A	False	117.94	0.85	138.75	3	35	207	False		156.75	09:38	165.0
2026-08-14	DOWN	30241.5	39.25	216.5	09:48	30280.75	30152.75	TDO	30207.75	day_mid	2	frac:0.65|farthest	structural	True	10:24	255.75	11:51	0.0	222.25	True	09:57	True	10:17	30199.5	81.25	True	10:24	80.25	False	A	False	73.0	0.57	128.0	2	35	191	False		80.25	10:20	93.5
2026-08-17	UP	30218.75	68.0	62.25	10:24	30156.5	30246.25	TDO	30232.7875	synthetic_85pct	0	frac:0.65|farthest	synthetic	True	11:00	130.25	11:07	0.0	27.0	True	10:57	True	10:58	30244.0	87.5	True	11:00	18.75	False	A	False	76.29	0.85	89.75	0	37	155	True	11:00	76.0	10:59	87.0
2026-08-18	DOWN	29690.75	79.25	176.75	09:41	29770.0	29625.0	prev4_day_low	29710.25	ny_morning(cur)_mid	2	frac:0.65|farthest	structural	True	09:55	256.0	11:10	0.0	120.0	True	09:43	True	09:44	29687.5	82.5	True	09:55	63.5	False	A	False	59.75	0.412	145.0	1	37	198	False		69.5	09:45	73.0
2026-08-19	DOWN	29696.25	45.75	320.5	09:33	29742.0	29525.5	TDO	29596.62	day_mid	2	frac:0.65|farthest	structural	True	09:48	366.25	10:15	0.0	182.75	True	09:39	True	09:39	29589.75	152.25	True	09:48	74.75	False	A	False	145.38	0.672	216.5	3	37	206	True	09:40	105.75	09:40	146.5
2026-08-20	UP	29350.75	119.5	81.5	10:20	29304.5	29618.75	TDO	29462.38	day_mid	2	frac:0.65|farthest	structural	False		152.75	11:02	35.25	75.25	False		False							True	D	False	157.88	0.502	314.25	3	35	159					
