date	direction	O	up_ex	down_ex	entry_time	entry_price	t2_price	t2_level	initial_price	initial_level	initial_tier	variant	initial_reason	primary_reached	primary_time	mfe	mfe_time	mae	mark_1300	initial_touched	touch_time	initial_flipped	flip_time	flip_close	kept_at_flip	primary_after_flip	primary_after_flip_time	post_flip_mae	stop15_hit_before_initial	class	flip_on_entry_bar	initial_dist	initial_share	t2_dist	n_candidates	n_levels	entry_to_1300_bars	retrace_to_initial	retrace_time	worst_flip_to_primary	cf_opp_close_time	cf_opp_close_kept
2026-08-07	DOWN	29714.75	140.25	150.5	09:45	29821.75	29488.75	TDO	29594.25	ny_morning(cur)_low	1	frac:0.65|nearest	structural	False		257.5	10:12	33.25	82.0	True	10:12	True	10:12	29593.0	228.75	False		-33.25	False	B	False	227.5	0.683	333.0	4	35	194	True	10:13	-33.25	10:13	217.75
2026-08-10	UP	29805.5	94.5	86.5	09:41	29719.0	29878.25	TDO	29839.25	rth(cur)_high	1	frac:0.65|nearest	structural	True	10:10	181.0	10:15	0.0	60.75	True	10:05	True	10:06	29858.0	139.0	True	10:10	11.25	False	A	False	120.25	0.755	159.25	2	37	198	False		121.25	10:07	137.75
2026-08-11	DOWN	29839.25	3.5	223.25	09:30	29842.75	29717.5	london(cur)_low	29751.5	ny_morning(cur)_low	1	frac:0.65|nearest	structural	True	09:35	226.75	12:47	0.0	217.0	True	09:31	True	09:33	29736.0	106.75	True	09:35	37.75	False	A	False	91.25	0.729	125.25	3	35	209	False		97.5	09:34	106.25
2026-08-12	DOWN	29991.75	9.75	173.0	09:30	30001.5	29694.5	TDO	29875.25	ny_morning(cur)_mid	2	frac:0.65|nearest	structural	False		182.75	11:34	0.0	96.0	True	09:35	True	09:40	29868.75	132.75	False		31.5	False	B	False	126.25	0.411	307.0	4	35	209	True	09:41	31.5	09:41	113.25
2026-08-13	UP	29911.25	355.75	48.5	09:32	29862.75	30001.5	prev1_day_high	29980.6875	synthetic_85pct	0	frac:0.65|nearest	synthetic	True	09:36	404.25	10:35	0.0	330.75	True	09:36	True	09:36	30024.75	162.0	True	09:37	132.75	False	A	False	117.94	0.85	138.75	3	35	207	False		156.75	09:38	165.0
2026-08-14	DOWN	30241.5	39.25	216.5	09:48	30280.75	30152.75	TDO	30230.625	ny_morning(cur)_mid	2	frac:0.65|nearest	structural	True	10:24	255.75	11:51	0.0	222.25	True	09:50	True	09:57	30219.0	61.75	True	10:24	8.5	False	A	False	50.12	0.392	128.0	2	35	191	True	09:59	8.5	09:58	55.25
2026-08-17	UP	30218.75	68.0	62.25	10:24	30156.5	30246.25	TDO	30232.7875	synthetic_85pct	0	frac:0.65|nearest	synthetic	True	11:00	130.25	11:07	0.0	27.0	True	10:57	True	10:58	30244.0	87.5	True	11:00	18.75	False	A	False	76.29	0.85	89.75	0	37	155	True	11:00	76.0	10:59	87.0
2026-08-18	DOWN	29690.75	79.25	176.75	09:41	29770.0	29625.0	prev4_day_low	29710.25	ny_morning(cur)_mid	2	frac:0.65|nearest	structural	True	09:55	256.0	11:10	0.0	120.0	True	09:43	True	09:44	29687.5	82.5	True	09:55	63.5	False	A	False	59.75	0.412	145.0	1	37	198	False		69.5	09:45	73.0
2026-08-19	DOWN	29696.25	45.75	320.5	09:33	29742.0	29525.5	TDO	29633.625	ny_morning(cur)_mid	2	frac:0.65|nearest	structural	True	09:48	366.25	10:15	0.0	182.75	True	09:36	True	09:36	29626.5	115.5	True	09:48	74.75	False	A	False	108.38	0.501	216.5	3	37	206	True	09:37	91.25	09:37	113.0
2026-08-20	UP	29350.75	119.5	81.5	10:20	29304.5	29618.75	TDO	29409.625	ny_morning(cur)_mid	2	frac:0.65|nearest	structural	False		152.75	11:02	35.25	75.25	True	10:23	True	10:39	29413.0	108.5	False		-35.25	False	B	False	105.12	0.335	314.25	3	35	159	True	10:40	-35.25	10:40	105.5
2026-08-21	DOWN	29469.25	19.25	249.0	09:30	29472.5	29352.75	TDO	29408.62	day_mid	2	frac:0.65|nearest	structural	True	09:35	252.25	10:21	16.0	60.25	True	09:31	True	09:31	29401.5	71.0	True	09:35	-16.0	False	A	False	63.88	0.533	119.75	2	33	209	False		70.25	09:33	95.0
2026-08-24	DOWN	29235.5	8.25	287.75	09:30	29243.75	29116.75	london(cur)_low	29135.8	synthetic_85pct	0	frac:0.65|nearest	synthetic	True	09:31	296.0	09:53	0.0	73.25	True	09:31	True	09:30	29131.75	112.0	True	09:31	19.5	False	A	True	107.95	0.85	127.0	0	35	209	True	09:31	84.25	09:31	93.25
2026-08-25	DOWN	29296.5	119.5	138.75	09:49	29416.0	29164.0	TDO	29349.625	ny_morning(cur)_mid	2	frac:0.65|nearest	structural	True	10:30	258.25	10:30	0.0	140.5	True	09:53	True	09:54	29342.5	73.5	True	10:30	70.75	False	A	False	66.38	0.263	252.0	5	37	190	False		70.75	09:58	106.5
2026-08-26	UP	29174.25	159.0	18.0	10:28	29156.25	29265.5	TDO	29212.12	week_mid	2	frac:0.65|nearest	structural	True	10:52	136.0	11:50	0.0	60.75	True	10:36	True	10:36	29214.5	58.25	True	10:52	13.75	False	A	False	55.87	0.511	109.25	3	37	151	True	10:37	49.5	10:38	59.75
2026-08-27	UP	29523.75	135.25	99.75	09:57	29424.0	29661.25	london(cur)_high	29603.0	rth(cur)_high	1	frac:0.65|nearest	structural	False		235.0	12:45	0.0	227.5	True	10:27	True	10:27	29611.25	187.25	False		86.75	False	B	False	179.0	0.754	237.25	4	35	182	True	10:28	86.75	10:28	177.5
