ticker	entry_date	exit_date	days_held	stop_type	regime	entry_price	exit_price	pnl	exit_type	mfe_atr	mae_atr	r_multiple
AAPL	2024-12-24	2024-12-26	2	pivot	bull	257.135	258.3612	1.47	stop_hit	0.306	0.0	0.0295
MSFT	2025-07-03	2025-07-07	4	pivot	bull	498.3062	497.605	-0.24	stop_hit	0.0	0.1051	-0.0048
AAPL	2025-08-13	2025-08-14	1	pivot	bull	231.84	232.21	0.42	stop_hit	0.0657	0.0	0.0085
AAPL	2025-09-22	2025-09-24	2	pivot	bull	252.7016	252.622	-0.07	stop_hit	0.7657	0.0156	-0.0013
NVDA	2025-10-29	2025-10-30	1	pivot	bull	210.64	202.2059	-8.79	stop_hit	0.0	1.3283	-0.1759
AAPL	2025-10-27	2025-10-31	4	pivot	bull	265.76	270.38	3.51	end_of_backtest	0.8716	0.0	0.0701
