entry_date	entry_time	exit_time	direction	entry_price	exit_price	tdo	stop_price	contracts	pnl	exit_type	divergence_bar	entry_bar	stop_bar_wick_pts	reentry_sequence	prior_trade_bars_held	entry_bar_body_ratio	smt_sweep_pts	smt_miss_pts	bars_since_divergence	matches_hypothesis	session_direction	entry_matches_session
2024-01-30	09:51	09:52	short	17669.5	17672.3875	17661.25	17672.3875	4	-23.1	exit_stop	49	51	1.75	2	1	0.6818	0.5	6.25	2	False	neutral	False
2024-01-31	09:25	09:30	long	17390.25	17400.5	17399.75	17400.5	4	82.0	exit_stop	3	25	23.5	1	0	0.8571	0.5	0.0	22	False	short	False
2024-02-01	10:50	10:51	short	17319.25	17323.45	17307.25	17323.45	4	-33.6	exit_stop	34	110	7.5	1	0	0.7975	0.5	16.75	76	True	short	True
2024-02-08	10:00	10:01	short	17846.25	17850.0125	17835.5	17850.0125	4	-30.1	exit_stop	2	60	1.75	1	0	0.3226	0.25	1.0	58	True	short	True
2024-02-09	09:31	09:32	long	17899.5	17896.175	17909.0	17896.175	4	-26.6	exit_stop	1	31	11.0	1	0	0.3125	0.25	0.5	30	False	short	False
2024-02-12	09:36	09:38	short	18042.5	18047.05	18029.5	18047.05	4	-36.4	exit_stop	2	36	10.0	1	0	0.2041	0.25	1.5	34	True	short	True
2024-02-12	10:34	10:36	short	18042.0	18046.375	18029.5	18046.375	4	-35.0	exit_stop	60	94	1.75	2	2	0.2188	0.25	7.75	34	True	short	True
2024-02-15	13:07	13:09	long	17874.75	17888.0	17888.25	17888.0	4	106.0	exit_stop	6	247	1.75	1	0	0.871	0.5	1.5	241	True	long	True
2024-02-19	09:10	09:30	long	17778.0	17796.0	17789.25	17796.0	4	144.0	exit_stop	8	10	8.0	1	0	0.8421	0.25	1.75	2	True	long	True
2024-02-21	09:56	09:58	long	17483.0	17478.8	17495.0	17478.8	4	-33.6	exit_stop	1	56	3.5	1	0	0.6034	0.25	0.25	55	True	long	True
2024-02-21	10:07	10:09	short	17505.25	17492.75	17495.0	17492.75	4	100.0	exit_stop	63	67	4.0	2	2	0.3385	1.0	8.0	4	False	long	False
2024-02-22	09:15	09:17	long	17881.75	17876.7625	17896.0	17876.7625	4	-39.9	exit_stop	5	15	1.25	1	0	0.3684	0.25	1.25	10	False	short	False
2024-02-22	09:32	09:33	long	17883.5	17879.125	17896.0	17879.125	4	-35.0	exit_stop	25	32	2.5	2	2	0.469	0.25	0.0	7	False	short	False
2024-02-23	09:42	09:43	short	18120.25	18125.325	18105.75	18125.325	4	-40.6	exit_stop	4	42	4.75	1	0	0.7571	0.25	0.75	38	True	short	True
2024-02-26	09:22	09:24	long	18005.5	18001.475	18017.0	18001.475	4	-32.2	exit_stop	19	22	2.5	1	0	0.6316	0.25	1.25	3	True	long	True
2024-02-28	09:48	09:49	long	17914.25	17911.0125	17923.5	17911.0125	4	-25.9	exit_stop	27	48	2.75	1	0	0.3636	0.5	2.25	21	True	long	True
2024-02-28	13:25	13:26	short	17931.0	17933.625	17923.5	17933.625	4	-21.0	exit_stop	70	265	0.5	2	1	0.5556	1.5	25.25	195	False	long	False
2024-02-29	09:31	09:32	short	18042.25	18046.45	18030.25	18046.45	4	-33.6	exit_stop	1	31	7.5	1	0	0.3571	0.25	0.75	30	True	short	True
2024-02-29	10:22	10:23	long	18019.25	18015.4	18030.25	18015.4	4	-30.8	exit_stop	70	82	7.5	2	1	0.791	3.75	2.75	12	False	short	False
2024-03-01	09:06	09:09	long	18085.5	18081.65	18096.5	18081.65	4	-30.8	exit_stop	5	6	1.75	1	0	0.4348	0.5	0.0	1	False	short	False
2024-03-01	09:47	09:49	short	18110.0	18096.25	18096.5	18096.25	4	110.0	exit_stop	15	47	1.75	2	3	0.7188	0.25	1.5	32	True	short	True
2024-03-06	09:12	09:14	long	18091.75	18087.4625	18104.0	18087.4625	4	-34.3	exit_stop	11	12	0.5	1	0	0.9091	0.5	0.75	1	True	long	True
2024-03-07	09:40	09:42	short	18194.75	18179.0	18182.25	18179.0	4	126.0	exit_stop	8	40	19.5	1	0	0.6875	0.5	2.75	32	False	neutral	False
2024-03-08	09:38	09:39	long	18308.75	18305.3375	18318.5	18305.3375	4	-27.3	exit_stop	13	38	4.0	1	0	0.7955	0.5	0.75	25	False	short	False
2024-03-11	09:22	09:26	short	17985.5	17966.5	17975.75	17966.5	4	152.0	exit_stop	3	22	7.5	1	0	0.5333	0.5	0.25	19	False	long	False
2024-03-11	09:46	09:48	short	17986.5	17958.5	17975.75	17958.5	4	224.0	exit_stop	30	46	16.25	2	4	0.2895	2.25	0.25	16	False	long	False
2024-03-12	09:06	09:07	long	18057.25	18054.625	18064.75	18054.625	4	-21.0	exit_stop	2	6	4.75	1	0	0.5849	0.75	2.25	4	False	short	False
2024-03-12	10:00	10:01	long	18052.0	18047.5375	18064.75	18047.5375	4	-35.7	exit_stop	10	60	15.25	2	1	0.36	0.75	2.0	50	False	short	False
2024-03-12	10:08	10:10	short	18078.5	18057.25	18064.75	18057.25	4	170.0	exit_stop	67	68	0.25	3	1	0.2059	1.25	9.25	1	True	short	True
2024-03-13	09:13	09:14	short	18436.75	18439.725	18428.25	18439.725	4	-23.8	exit_stop	9	13	0.75	1	0	0.5714	0.25	0.5	4	True	short	True
2024-03-13	09:26	09:27	short	18436.0	18438.7125	18428.25	18438.7125	4	-21.7	exit_stop	25	26	6.75	2	1	0.0833	0.5	4.0	1	True	short	True
2024-03-15	10:36	10:37	long	18138.75	18134.025	18152.25	18134.025	4	-37.8	exit_stop	30	96	8.5	1	0	0.8	0.5	12.5	66	False	short	False
2024-03-18	09:57	09:58	short	18298.75	18303.7375	18284.5	18303.7375	4	-39.9	exit_stop	29	57	14.0	1	0	0.604	2.25	10.25	28	True	short	True
2024-03-19	09:10	09:18	long	18130.25	18144.25	18143.5	18144.25	4	112.0	exit_stop	1	10	0.75	1	0	0.7547	0.25	1.0	9	True	long	True
2024-03-22	09:42	09:43	long	18524.75	18520.2875	18537.5	18520.2875	4	-35.7	exit_stop	23	42	2.75	1	0	0.037	0.25	1.0	19	True	long	True
2024-03-25	09:46	09:49	long	18447.5	18467.5	18458.75	18467.5	4	160.0	exit_stop	9	46	13.0	1	0	0.5529	0.5	0.5	37	True	long	True
2024-03-26	09:35	09:36	short	18583.5	18588.6625	18568.75	18588.6625	4	-41.3	exit_stop	33	35	6.5	1	0	0.2951	0.25	2.25	2	True	short	True
2024-03-28	09:16	09:21	short	18507.25	18500.5	18500.0	18500.5	4	54.0	exit_stop	12	16	1.25	1	0	0.625	0.5	0.75	4	False	long	False
2024-04-01	09:18	09:20	long	18489.25	18485.225	18500.75	18485.225	4	-32.2	exit_stop	11	18	2.5	1	0	0.68	0.25	1.0	7	False	short	False
2024-04-02	09:35	09:37	long	18273.5	18289.0	18287.5	18289.0	4	124.0	exit_stop	4	35	0.0	1	0	0.3538	0.25	0.75	31	True	long	True
2024-04-04	13:01	13:10	short	18550.5	18553.65	18541.5	18553.65	4	-25.2	exit_stop	8	241	3.25	1	0	0.8182	0.75	1.25	233	True	short	True
2024-04-05	09:15	09:17	long	18129.5	18145.5	18138.25	18145.5	4	128.0	exit_stop	8	15	2.25	1	0	0.3111	0.25	0.75	7	True	long	True
2024-04-08	10:24	10:26	long	18322.0	18336.5	18330.25	18336.5	4	116.0	exit_stop	2	84	15.75	1	0	0.9333	0.25	0.0	82	False	short	False
2024-04-11	09:41	09:42	long	18256.5	18253.4375	18265.25	18253.4375	4	-24.5	exit_stop	36	41	8.0	1	0	0.6186	1.25	23.25	5	True	long	True
2024-04-12	09:17	09:18	short	18308.0	18311.9375	18296.75	18311.9375	4	-31.5	exit_stop	15	17	4.5	1	0	0.5357	0.75	7.25	2	True	short	True
2024-04-12	09:34	09:35	short	18304.5	18307.2125	18296.75	18307.2125	4	-21.7	exit_stop	30	34	6.75	2	1	0.5152	1.25	16.25	4	True	short	True
2024-04-12	09:49	09:50	short	18310.75	18315.65	18296.75	18315.65	4	-39.2	exit_stop	45	49	4.5	3	1	0.8438	1.25	6.0	4	True	short	True
2024-04-16	09:38	09:40	long	17858.75	17881.0	17867.75	17881.0	4	178.0	exit_stop	1	38	11.75	1	0	0.4576	1.25	0.75	37	False	neutral	False
2024-04-16	09:49	09:51	long	17853.0	17875.0	17867.75	17875.0	4	176.0	exit_stop	43	49	8.75	2	2	0.6383	1.25	12.0	6	False	neutral	False
2024-04-16	10:39	10:42	long	17853.75	17848.85	17867.75	17848.85	4	-39.2	exit_stop	93	99	1.0	3	2	0.5085	1.5	30.75	6	False	neutral	False
2024-04-18	09:22	09:23	short	17684.25	17688.1875	17673.0	17688.1875	4	-31.5	exit_stop	21	22	7.0	1	0	0.5667	1.0	3.5	1	False	long	False
